gene_id,Sample_Id,mRNA_expression
6128,95,0.5166
4886,95,1.965
472,95,-2.6027
66,95,0.5703
2187,95,0.7368
1561,95,-0.6248
3268,95,-0.5555
356,95,1.21
2633,95,-2.158
2637,95,-0.6633
262,95,-0.9743
1735,95,-1.0564
135,95,-1.0485
6041,95,-1.4415
1701,95,2.7589
2065,95,-0.8947
3548,95,-0.8916
6897,95,0.5255
3292,95,-0.7531
28,95,-1.057
2966,95,-1.7614
2920,95,-0.5568
3334,95,-1.1357
4699,95,-0.6317
2435,95,0.5358
2758,95,-0.7986
1413,95,0.9302
3330,95,-0.5771
186,95,-1.0426
4471,95,0.5206
8475,95,-0.8294
2854,95,-2.5957
6254,95,0.6766
3406,95,-0.7389
8003,95,-1.1589
6880,95,1.7405
6782,95,1.7325
859,95,-0.7523
7952,95,-0.8118
3471,95,0.8935
431,95,-0.6764
4306,95,-0.5895
3508,95,-0.5715
6773,95,-0.5677
2901,95,-0.7233
144,95,-1.2391
8802,95,0.9913
11462,95,-1.3055
554,95,-0.9472
977,95,-1.5776
8886,95,1.3207
1187,95,0.9351
2580,95,-0.5426
2610,95,0.736
2052,95,-0.5567
1693,95,-1.1711
3489,95,0.9021
440,95,-0.5246
2988,95,-0.9868
3676,95,-1.132
2063,95,-1.8488
1734,95,-2.0958
3977,95,0.5814
3951,95,-0.7737
7913,95,0.6765
1677,95,-0.5409
2534,95,-0.577
6201,95,-0.7707
3530,95,-1.3536
3540,95,0.9295
2540,95,-0.5416
3986,95,-1.0701
1412,95,-1.0725
1213,95,-0.526
84,95,-0.6461
611,95,-1.0012
622,95,-1.2211
2315,95,0.8303
2787,95,-0.6605
801,95,-0.8108
4931,95,1.5834
3999,95,-0.8256
2299,95,-1.6592
3098,95,-1.0421
1894,95,-0.5231
6511,95,-0.8931
5752,95,0.8783
3156,95,-0.8832
8962,95,0.6878
4968,95,-1.4773
4639,95,-1.1178
3939,95,-1.124
585,95,-1.1726
4004,95,-1.0141
1102,95,-1.0123
365,95,-1.2032
2151,95,-0.5985
418,95,-1.2276
6378,95,-0.9628
8768,95,-0.8495
5049,95,2.1529
1360,95,-1.526
1804,95,0.7137
1945,95,-1.0146
2628,95,-0.8159
640,95,-0.7184
3057,95,-1.3016
8222,95,-0.8701
8167,95,-0.5869
513,95,0.5523
679,95,-0.8561
7524,95,1.1226
578,95,-0.7715
1622,95,-0.5596
6098,95,0.624
14387,95,-0.5796
3018,95,0.8549
1762,95,2.3157
1044,95,0.8884
4219,95,1.0963
2876,95,0.6953
1148,95,-0.5382
4181,95,1.533
3161,95,-1.1871
9990,95,0.9667
3121,95,-0.5313
1204,95,-1.2939
2249,95,-0.6409
4908,95,2.4934
2124,95,-1.0597
3264,95,1.7672
1900,95,-1.0912
137,95,-1.6886
2717,95,-0.5959
4060,95,-0.8903
1326,95,1.7356
401,95,-0.6131
2086,95,1.9894
9664,95,1.1437
599,95,-0.6853
2791,95,-1.4513
1558,95,0.9065
1996,95,-1.4145
2224,95,-0.6208
1987,95,-0.7127
1131,95,1.7669
2433,95,-1.5575
3401,95,-0.8359
5610,95,-1.5569
1797,95,0.5694
2889,95,-0.8805
341,95,-1.3712
5851,95,0.7108
1744,95,-1.072
5966,95,-0.8964
1423,95,-0.6514
2650,95,-1.5128
1006,95,-1.1732
8049,95,0.6316
807,95,-0.6411
625,95,-1.1911
3088,95,-1.1454
2309,95,1.1722
2900,95,-1.0627
5266,95,-0.9998
1705,95,1.9437
3133,95,-1.6811
339,95,0.6923
43,95,0.7117
582,95,-1.4025
5165,95,0.524
4941,95,-0.7293
5545,95,-0.9297
1997,95,-1.8974
583,95,-1.5214
389,95,-0.6984
2639,95,-0.6074
4208,95,-1.1495
1515,95,-0.9511
9258,95,0.5641
496,95,-1.2863
1508,95,-0.7027
400,95,-1.0202
8436,95,-1.0205
8709,95,-0.7056
390,95,0.8668
819,95,0.9891
632,95,-0.57
824,95,1.1423
4067,95,-1.6273
3440,95,2.3506
207,95,2.2325
330,95,-0.5232
93,95,-0.7686
4030,95,-0.8585
793,95,-0.9503
2194,95,-0.7966
1469,95,1.4868
3123,95,-1.1687
4056,95,-0.7028
1983,95,1.8265
5469,95,-0.6348
1017,95,-0.7058
7510,95,-1.0029
1667,95,-0.787
2185,95,-1.3536
743,95,1.5389
7059,95,-0.8326
1743,95,-0.5658
1382,95,-0.7561
1644,95,-0.6946
116,95,-0.5082
4151,95,0.6534
11758,95,-0.619
2057,95,-0.8103
3434,95,1.7216
7288,95,-1.2187
1591,95,-0.6558
324,95,0.993
3053,95,-0.5687
2053,95,1.9887
919,95,-0.6178
2335,95,-1.0947
9020,95,0.7329
1072,95,-1.2616
3238,95,0.8155
303,95,1.2354
3351,95,-0.9214
1410,95,-1.8129
1838,95,-0.6589
4080,95,0.6343
3376,95,-0.6768
3199,95,0.9961
1365,95,-0.9176
2199,95,-1.147
2734,95,-0.8203
2500,95,-0.7324
2971,95,-0.5783
2707,95,-1.2157
4250,95,0.8997
65,95,-1.224
594,95,-1.3219
79,95,-0.8614
1211,96,-1.3453
5430,96,-0.6709
5623,96,-0.8205
674,96,-1.0574
1913,96,1.3711
100,96,-0.7533
885,96,-0.9118
2374,96,-0.5479
394,96,0.5201
170,96,-0.7235
1802,96,-1.02
7060,96,-0.8832
2831,96,-0.6058
8202,96,1.164
300,96,1.2705
4840,96,0.5366
2038,96,-0.6752
6395,96,-1.0874
196,96,0.7944
50,96,-1.1595
13,96,0.5566
1820,96,-1.2735
1112,96,-0.8653
2615,96,-1.4039
7967,96,-1.0961
8462,96,1.1348
8775,96,-1.1896
119,96,-0.8036
3703,96,0.5889
2617,96,-0.6287
2308,96,-1.0249
4147,96,-0.517
349,96,-0.7979
3488,96,0.9162
3128,96,-0.933
4228,96,0.6455
2081,96,-1.3565
908,96,-0.5187
7169,96,1.0012
1460,96,2.9123
1338,96,-2.191
2635,96,-1.0647
1233,96,-1.2033
1036,96,3.4713
162,96,-0.5172
2085,96,-1.3128
316,96,-0.6279
323,96,-0.8897
2751,96,-1.1683
3499,96,-1.8376
857,96,-0.6965
4070,96,-0.8224
1252,96,1.3031
404,96,-0.685
4197,96,-0.6097
5680,96,-1.0931
4546,96,1.2102
2061,96,-0.8109
11481,96,0.5381
1386,96,-1.4883
1127,96,0.8218
2024,96,-0.7106
5229,96,-0.617
2453,96,-0.7339
1807,96,-1.9021
2706,96,-1.4514
2321,96,1.9919
11603,96,-1.0226
1836,96,-1.0756
1058,96,0.8423
157,96,-1.2396
3168,96,0.6744
918,96,-0.7462
1083,96,-0.5436
791,96,-1.0347
4478,96,0.5137
2350,96,-0.7909
3146,96,-1.9636
3557,96,-0.8012
1821,96,1.2133
991,96,0.8472
4504,96,0.797
983,96,1.0282
3630,96,0.5559
962,96,-1.6398
2887,96,1.598
4249,96,0.9645
579,96,0.8358
3056,96,-0.9206
610,96,-0.8564
3275,96,0.6198
4131,96,1.095
4124,96,0.6726
2768,96,0.9343
727,96,-1.6631
6611,96,0.7317
224,96,-0.8707
519,96,-0.9081
1419,96,-0.678
526,96,-0.8981
5586,96,-0.5676
1768,96,-0.8283
51,96,-1.0595
3523,96,-1.2705
1767,96,-1.0898
3930,96,1.0804
6367,96,1.3547
3247,96,-1.1062
1314,96,-0.5719
3933,96,-0.5125
7522,96,-1.2581
2595,96,-1.3208
9391,96,1.1095
2058,96,-2.0967
2064,96,0.7975
664,96,-1.4126
1585,96,1.6654
3224,96,-0.9129
318,96,-0.7423
3137,96,-0.8387
4783,96,0.8337
2326,96,-1.9746
456,96,-0.7763
1294,96,-1.4055
2119,96,-0.6525
2034,96,0.9456
4442,96,1.76
6581,96,-0.5764
634,96,-0.8857
749,96,0.8805
4900,96,-1.08
5001,96,0.8365
1618,96,0.8604
47,96,0.9273
3034,96,0.8119
63,96,-0.6838
3044,96,-0.9451
1150,96,-0.8328
243,96,-1.0672
3862,96,1.725
3774,96,-0.9907
8161,96,-0.7025
3689,96,-1.0154
756,96,-1.0663
572,96,0.7039
3,96,-0.6234
4729,96,1.0259
7230,96,-1.1525
7320,96,-0.7779
564,96,-0.5716
91,96,0.7748
2737,96,1.6317
4048,96,-0.6462
13748,96,-0.5879
1728,96,-0.6992
949,96,0.7651
329,96,-1.9668
1037,96,1.6099
2760,96,-0.8105
86,96,-0.7034
8834,96,-0.8333
4018,96,-0.8076
4600,96,-1.1178
9584,96,-1.5899
3897,96,-0.696
4757,96,0.7186
2575,96,-1.8293
6453,96,-1.1015
7876,96,-1.4855
1697,96,-1.5407
5879,96,-0.9593
2441,96,0.7877
3063,96,0.7195
6385,96,-1.7678
1188,96,-0.8368
315,96,-0.6395
1209,96,0.8808
3169,96,-0.5995
9327,96,-1.598
3512,96,-0.6131
6629,96,-1.3256
1432,96,0.8359
2692,96,-1.2101
14105,96,0.9757
3235,96,-1.4676
5679,96,1.3766
4906,96,-0.5001
763,96,1.1073
5192,96,-1.2909
1998,96,-0.7493
9349,96,-1.1913
9937,96,-0.9648
15,96,-0.5481
5290,96,0.6406
835,96,-1.1984
6626,96,-1.3895
10945,96,-2.217
375,96,-1.515
2148,96,-0.9834
448,96,-0.5591
40,96,-2.7473
2293,96,-0.9073
1227,96,-0.7832
3127,96,-0.9445
1231,96,-1.426
804,96,1.6113
3405,96,-0.5315
239,96,0.6584
2865,96,-1.8881
12439,96,-0.9556
878,96,0.7147
9282,96,-0.7123
2391,96,-0.8297
1046,96,0.6171
989,96,0.7429
6612,96,1.0941
9291,96,-0.663
8241,96,0.5135
3490,96,1.8604
2609,96,0.8259
2980,96,-0.9371
3497,96,-0.9688
1201,96,-0.7965
417,96,1.1462
7922,96,-1.0903
6530,96,-0.5522
1369,96,-1.736
6901,96,-1.0403
1384,96,1.3714
2657,96,-0.591
3015,96,-0.9415
3517,96,0.5265
539,96,-1.2735
595,96,0.5207
9577,96,0.7077
3335,96,-0.5587
1845,96,-0.8099
636,96,1.1421
1462,96,-1.144
1865,96,-1.1086
256,96,-0.5433
4436,96,-1.6494
642,96,-1.3863
3154,96,-0.8094
5776,96,-0.7671
89,96,-0.952
726,96,0.7632
2243,96,0.6816
5272,96,-0.762
799,96,-0.8962
3515,96,0.9059
5026,96,-1.5587
7572,96,-0.8007
1100,96,-0.9017
2310,96,0.7628
656,96,-0.6169
515,96,-1.0459
6128,96,-1.2263
2055,96,-0.6053
5812,96,-1.3794
2264,96,0.9522
4886,96,1.9144
66,96,-0.8181
2187,96,1.2246
1561,96,1.6962
3268,96,-0.5555
3905,96,0.5666
2633,96,-1.4902
2223,96,-1.8622
2637,96,-0.6633
76,96,-0.7685
1387,96,-0.6423
135,96,1.3062
6041,96,-1.3333
1701,96,-0.5865
2065,96,-0.8944
3548,96,-1.269
6897,96,-1.2422
3292,96,-1.8053
2966,96,-1.0563
1375,96,-0.9817
3334,96,-0.5273
4699,96,-2.0825
2435,96,1.2295
2758,96,-0.7986
