gene_id,Entrez_Gene_Id,Hugo_Symbol
34174,,CCDC185
35572,,CCDC186
35931,,CCDC188
34696,,CCDC189
8386,,CCDC19
35735,,CCDC191
33985,,CCDC192
35300,,CCDC194
33116,,CCDC196
33062,,CCDC197
35449,,CCDC198
34878,,CCDC24
14903,,CCDC41
34354,,CCDC42
34898,,CCDC51
36529,,CCDC58
35708,,CCDC6
35500,,CCDC65
36260,,CCDC70
34475,,CCDC71L
33010,,CCDC84
36560,,CCDC85B
35061,,CCDC85C
33241,,CCDC86
35929,,CCDC90B
36080,,CCDC96
34921,,CCDC9B
36091,,CCER2
32904,,CCL1
33542,,CCL13
35775,,CCL19
34274,,CCL20
35942,,CCL21
36371,,CCL24
34858,,CCL27
33124,,CCL28
36223,,CCL7
32873,,CCNE2
36372,,CCNG1
34101,,CCNH
34317,,CCNI2
34850,,CCNT2
34711,,CCNYL1
33622,,CCS
36532,,CCSAP
35384,,CCT3
34232,,CCT7
34672,,CCT8
35200,,CD14
36603,,CD164L2
32845,,CD27
33930,,CD2BP2
35917,,CD300E
35226,,CD302
33368,,CD3D
34423,,CD3E
36104,,CD4
36357,,CD5
33120,,CD53
36663,,CD55
34579,,CD58
35263,,CD63
34244,,CD68
33154,,CD70
35230,,CD74
33481,,CDC14C
35921,,CDC23
36173,,CDC25A
34956,,CDC26
33520,,CDC34
34301,,CDC42EP2
36282,,CDC42EP5
35356,,CDC42SE2
35210,,CDC7
34611,,CDCA2
33148,,CDCA3
33991,,CDCA4
33487,,CDCA5
35103,,CDH1
36249,,CDK10
35532,,CDK20
33835,,CDK2AP1
36427,,CDK2AP2
33774,,CDK4
33196,,CDK5RAP3
33207,,CDK7
33569,,CDKN1A
32819,,CDKN1B
36482,,CDKN1C
36728,,CDKN2AIPNL
33826,,CDKN2B
35530,,CDKN3
32940,,CDPF1
36385,,CDRT4
33664,,CDSN
35314,,CDT1
33468,,CDV3
32813,,CDY1
35728,,CDY1B
32787,,CDY2A
33666,,CDY2B
33158,,CEACAM6
35442,,CEACAM7
36073,,CEBPA
36550,,CEBPD
32847,,CEBPZOS
35780,,CEMIP
34630,,CEMIP2
35219,,CEMP1
34246,,CENPA
34263,,CENPN
32887,,CENPU
35570,,CENPVL1
34276,,CENPVL3
35253,,CENPW
35265,,CENPX
34981,,CEP126
34344,,CEP131
33023,,CEP162
35612,,CEP19
35819,,CEP295
36414,,CEP295NL
35033,,CEP76
36580,,CEP83
36287,,CEP85L
36341,,CERS1
32938,,CES3
35313,,CFAP100
33034,,CFAP126
33897,,CFAP157
36432,,CFAP161
34601,,CFAP20
35760,,CFAP221
34604,,CFAP298
34999,,CFAP299
34578,,CFAP300
35328,,CFAP36
33337,,CFAP410
32989,,CFAP43
36470,,CFAP44
35661,,CFAP45
35215,,CFAP46
35284,,CFAP47
36055,,CFAP52
35065,,CFAP53
35315,,CFAP54
35589,,CFAP57
34238,,CFAP58
35894,,CFAP61
32874,,CFAP65
34616,,CFAP69
36124,,CFAP70
36593,,CFAP73
34603,,CFAP74
36637,,CFAP77
36572,,CFAP97
33098,,CFAP97D1
32960,,CFAP99
33279,,CFB
36220,,CFC1B
33892,,CFD
35888,,CFDP1
33896,,CGAS
36433,,CGB1
32918,,CGGBP1
15356,,CH17-132F21.1
34390,,CHAC2
35369,,CHCHD10
36178,,CHERP
32828,,CHKA
35403,,CHMP2B
33612,,CHMP4A
33640,,CHMP5
33228,,CHMP6
36237,,CHORDC1
36472,,CHP1
34410,,CHPT1
33586,,CHRAC1
35823,,CHRFAM7A
36183,,CHRNA3
35052,,CHRNB2
35462,,CHST14
35499,,CHSY1
34322,,CIAO1
34116,,CIAO2A
34617,,CIAO2B
34558,,CIAO3
36662,,CIART
35534,,CIP2A
35732,,CISD2
34736,,CITED1
33891,,CITED4
33602,,CKLF
35240,,CKS2
35663,,CLBA1
35840,,CLCC1
33339,,CLCF1
32952,,CLCN2
34087,,CLDN1
35255,,CLDN20
34625,,CLDN24
34644,,CLDN34
35822,,CLDN6
36583,,CLDN7
34257,,CLDND2
36700,,CLEC12B
33423,,CLEC18A
32796,,CLEC19A
34612,,CLEC20A
34702,,CLEC2L
36230,,CLEC3B
33285,,CLEC4A
36017,,CLEC4D
34891,,CLEC6A
35862,,CLECL1
36627,,CLHC1
34834,,CLK3
34831,,CLN5
33413,,CLN8
35946,,CLPSL1
36522,,CLPSL2
33588,,CLTRN
34058,,CLYBL
35804,,CMC2
36022,,CMTM2
